Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Воздуховод Ballu MACHINE звукоизолированный SONOBFA-H 127ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036328,SONOBFA-H 127ммх10м,3970.0,3970.0,2064.4,195,{'фрц Киржач': '195'}
"Комплект Ballu Machine BLCI_D-48HN8/EU_23Y инверторной сплит-системы, канального типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480591,BLCI_D-48HN8/EU_23Y,256800.0,256800.0,154080.0,13,{'фрц Киржач': '13'}
Комплект Ballu Machine BLC_CF-18HN1_21Y полупромышленной сплит-системы напольно-потолочного типа,BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1300960,BLC_CF-18HN1_21Y,80400.0,80400.0,48240.0,8,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '7'}"
"Комплект Ballu Machine BLC_D-36HN1_21Y полупромышленной сплит-системы, канального типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1407536,BLC_D-36HN1_21Y,139600.0,139600.0,83760.0,71,"{'ррц Петушки (Владимирская обл.)': '29', 'фрц Киржач': '42'}"
Монтажный комплект для установки кондиционера Ballu Machine,BALLU MACHINE,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Комплекты монтажные",НС-1410005,mon_compl01,5500.0,5500.0,2900.0,более 500,"{'екатеринбург склад': '41', 'ррц Костерево (Владимирская обл.)': '7', 'ррц Екатеринбург LV NEW': '32', 'фрц Киржач': 'более 500'}"
"Комплект Ballu Machine BLC_D-80HN1_21Y полупромышленной сплит-системы, канального типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1422844,BLC_D-80HN1_21Y,568300.0,568300.0,340980.0,21,{'ррц Лакинск': '21'}
Воздуховод Ballu MACHINE неизолир. BFA 203ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036300,BFA 203ммх10м,1160.0,1160.0,603.2,97,"{'ррц Екатеринбург LV NEW': '36', 'фрц Киржач': '61'}"
Воздуховод Ballu MACHINE теплоизолир. ISOBFA 152ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036313,ISOBFA 152ммх10м,3540.0,,1840.8,под заказ,{'фрц Киржач': 'под заказ'}
"Комплект Ballu Machine BLCI_D-18HN8/EU_23Y инверторной сплит-системы, канального типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480576,BLCI_D-18HN8/EU_23Y,119800.0,119800.0,71880.0,11,{'фрц Киржач': '11'}
Комплект Ballu Machine BLC_CF-48HN1_21Y полупромышленной сплит-системы напольно-потолочного типа,BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1300964,BLC_CF-48HN1_21Y,167300.0,167300.0,100380.0,120,"{'ррц Петушки (Владимирская обл.)': '83', 'ррц Екатеринбург LV NEW': '4', 'фрц Киржач': '33'}"
Комплект Ballu Machine BLC_CF-36HN1_21Y полупромышленной сплит-системы напольно-потолочного типа,BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1300963,BLC_CF-36HN1_21Y,137900.0,137900.0,82740.0,276,"{'ррц Лакинск': '75', 'ррц Костерево (Владимирская обл.)': '22', 'ррц Орехово-Зуево (Московская обл.)': '38', 'фрц Киржач': '141'}"
Пульт управления проводной Ballu Machine BLC_WC (1х1),BALLU MACHINE,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Пульты управления",НС-1186973,BLC_WC (1х1),6100.0,6100.0,3660.0,ожидается поставка,{}
Вентилятор круглый канальный VIKING 315,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1579712,VIKING 315,10990.0,16650.0,8660.6,более 500,"{'ррц Лакинск': '520', 'ррц Екатеринбург LV NEW': '21', 'фрц Киржач': '340'}"
