Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
"Болт-скоба U-образный SHUFT оцинкованный 4"" М12 (упак.50шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425394,UBZ1161SH,4780.8,4780.8,4541.76,2,{'фрц Киржач': '2'}
Фильтр карманный (материал) FRr (F7-EU7) 500*300,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Фильтры,НС-0077146,FRr (F7-EU7) 500*300,4710.0,4710.0,2449.2,16,{'фрц Киржач': '16'}
RHPr 600x350 Рекуператор пластинчатый,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Рекуператоры,НС-1039513,RHPr 600x350,87370.0,87370.0,45432.4,6,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '5'}"
Фанкойл настенный Shuft SFH-600 V2 (без клапана),SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517680,SFH-600 V2 (без клапана),82415.76,,30658.29,ожидается поставка,{}
"Уголок (цинк) для сборки воздуховодов SHUFT УГФ-0 (65х18х1,8/2,5), упак_300",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425450,"УГФ0(65/18/1,8)SH",1300.0,1300.0,1196.0,более 500,"{'екатеринбург склад': '3', 'ррц Екатеринбург LV NEW': '27', 'фрц Киржач': 'более 500'}"
"Хомут спринклерный без гайки SHUFT 3/4"" (d=30мм) (упак.60шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425485,PCK0201SH,470.0,470.0,446.5,9,{'фрц Киржач': '9'}
Установка приточно-вытяжная SHUFT UniMAX-P 850 SW EC,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1085389,UniMAX-P 850SW EC,533190.0,533190.0,357237.3,под заказ,{}
Водяной нагреватель WHC 200*200-3,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Нагреватели,НС-0006992,WHC 200*200-3,20340.0,20340.0,10576.8,73,"{'ррц Екатеринбург LV NEW': '3', 'фрц Киржач': '70'}"
Водяной нагреватель WHC 400*400-2,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Нагреватели,НС-0006994,WHC 400*400-2,29480.0,29480.0,15329.6,55,"{'ррц Екатеринбург LV NEW': '7', 'фрц Киржач': '48'}"
Преобразователь влажности и температуры канальный SHUFT TUC 3T,SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Частотные преобразователи,НС-1428470,TUC3T,29767.0,,15627.68,2,{'фрц Киржач': '2'}
Осушитель канальный Shuft SHA-D90,SHUFT,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Полупромышленные осушители воздуха",НС-1442255,SHA-D90,670725.96,628080.0,335362.98,10,{'фрц Киржач': '10'}
"Электронагреватель для круглого канала EHC 100-1,8/1",SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Нагреватели,НС-1166646,"EHC 100-1,8/1",8590.0,8590.0,4466.8,100,{'фрц Киржач': '100'}
FRKr (G3) 500x300/100 Фильтр кассетный,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Фильтры,НС-1033168,FRKr (G3) 500x300/100,6030.0,6030.0,3135.6,под заказ,{}
"Установка приточная ECO 315/1-6,0/ 2-A",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1084922,"ECO 315/1-6,0/ 2-A",142990.0,142990.0,95803.3,63,{'фрц Киржач': '63'}
Вентилятор прямоугольный канальный SHUFT RFE-B 500х300-2 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1060618,RFE-B 500х300-2 VIM,45080.0,45080.0,23441.6,20,{'фрц Киржач': '20'}
Сантехнический винт SHUFT М8X80 (уп. 100шт),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Метизы",НС-1425441,SS08080SH,345.0,345.0,317.4,8,"{'екатеринбург склад': '1', 'ррц Екатеринбург LV NEW': '7'}"
Наружная решетка SA 500*300,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0006878,SA  500*300,2980.8,,2086.56,12,"{'ррц Екатеринбург LV NEW': '9', 'фрц Киржач': '3'}"
Наружная решетка SA 600*300,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0006879,SA  600*300,3485.38,,2439.77,18,"{'ррц Екатеринбург LV NEW': '10', 'фрц Киржач': '8'}"
Наружная решетка SA 1000*500,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0006883,SA 1000*500,8662.06,,6063.44,3,{'ррц Екатеринбург LV NEW': '3'}
Настенная двухрядная решетка 2 WA 150*100,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0006886,2_WA  150*100,710.16,660.0,497.11,ожидается поставка,{}
Установка приточно-вытяжная SHUFT UniMAX-R 1400 SW EC,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1082964,UniMAX-R 1400SW EC,550278.0,550270.0,368686.26,под заказ,{}
Комплект Shuft SFLC_CF-36HN1 полупромышленной сплит-системы напольно-потолочного типа,SHUFT,Кондиционирование/Полупромышленные сплит-системы,НС-1597882,SFLC_CF-36HN1,129600.0,129600.0,76464.0,44,"{'ррц Лакинск': '28', 'фрц Киржач': '16'}"
"Болт оцинкованный SHUFT класс прочности 5,8 DIN933 М8x25 (упак_1кг/62шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Метизы",НС-1425385,BL08251SH,180.0,180.0,165.6,37,"{'екатеринбург склад': '16', 'ррц Екатеринбург LV NEW': '21'}"
"Заклепка SHUFT комбинированная 4,8х12 алюминий/сталь (упак.500шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Метизы",НС-1425422,RCAS48121SH,0.0,,0.0,3,{'фрц Киржач': '3'}
DCGAr 355 Воздушный клапан,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1033999,DCGAr 355,4220.0,4220.0,2194.4,19,{'фрц Киржач': '19'}
"ATRD-3,0 Пятиступенчатый автотрансформатор",SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Оборудование КиП и А,НС-0076646,"ATRD-3,0",17551.85,17551.85,9214.72,ожидается поставка,{}
Анкер забивной SHUFT оцинкованный M8 (упак. 100шт),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425374,DA0810301SH,330.0,330.0,303.6,86,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '9', 'фрц Киржач': '75'}"
RSK-100 Обратный клапан,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-0081412,GSKRSK001_,540.0,540.0,280.8,более 500,"{'екатеринбург склад': '3', 'ррц Екатеринбург LV NEW': '45', 'фрц Киржач': 'более 500'}"
Реле давления дифференциальное PS-500-L,SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Сенсоры и датчики,НС-1059322,PS-500-L,2522.93,2505.0,1325.01,более 500,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '148', 'фрц Киржач': 'более 500'}"
Осушитель настенный Shuft SBW 150A,SHUFT,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Полупромышленные осушители воздуха",НС-1442246,SBW 150A,644749.11,603750.0,322374.56,27,{'фрц Киржач': '27'}
Установка приточно-вытяжная SHUFT UniMAX-P 1500 VWL-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1061969,UniMAX-P 1500 VWL-A,539280.0,539280.0,361317.6,ожидается поставка,{}
Вентилятор крышный SHUFT RMVD 311/440-4 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1064687,RMVD 311/440-4 VIM,60450.0,60450.0,31434.0,7,{'фрц Киржач': '7'}
"Шина монтажная SHUFT без герметика 20х0,5, 3м",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425496,FP201SH,133.0,133.0,122.36,более 500,"{'екатеринбург склад': '22', 'ррц Екатеринбург LV NEW': '1436', 'фрц Киржач': 'более 500'}"
ALTF1-PT1000 Контактный датчик температуры с хомутом,SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Сенсоры и датчики,НС-0007647,ALTF1-PT1000,2420.0,1620.0,1270.5,более 500,"{'ррц Екатеринбург LV NEW': '22', 'фрц Киржач': 'более 500'}"
"Заклепка SHUFT комбинированная 4,0х10 алюминий/сталь, (упак.1000шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Метизы",НС-1425418,RCAS40101SH,0.0,,0.0,1,{'ррц Екатеринбург LV NEW': '1'}
Фанкойл канальный Shuft SFF-1200G50 4T,SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517759,SFF-1200G50 4T,115774.51,,43068.31,под заказ,{}
"Узел смесительный обратный MST 25-40-2,5-C24-F с гибкими подводками",SHUFT,Отопление и водоснабжение/Коллекторы/Узлы смесительные,НС-1134960,"MST 25-40-2,5-C24-F с ГП подводками",107300.0,92500.0,56332.5,под заказ,"{'ррц Екатеринбург LV NEW': 'под заказ', 'фрц Киржач': 'под заказ'}"
JETA 450 Декоративный струйно-сопловый диффузор,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-1030697,JETA 450,13848.09,,9693.66,14,{'фрц Киржач': '14'}
"Установка приточная ECO 315/1-12,0/ 3-A",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1084924,"ECO 315/1-12,0/ 3-A",160060.0,160060.0,107240.2,106,"{'ррц Лакинск': '40', 'фрц Киржач': '66'}"
Реле температуры 6 метра TS-6 LEFOO,SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Сенсоры и датчики,НС-1442765,01522_,8953.0,,4700.33,более 500,"{'ррц Екатеринбург LV NEW': '31', 'фрц Киржач': 'более 500'}"
Шайба плоская SHUFT оцинкованная DIN125 М8 (упак_1кг/630шт),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425491,WSL08/СSH,165.0,165.0,151.8,более 500,"{'екатеринбург склад': '1', 'ррц Екатеринбург LV NEW': '55', 'фрц Киржач': 'более 500'}"
Гайка шестигранная SHUFT оцинкованная DIN934 М8 (упак_1кг/220шт),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425405,NT081SH,150.0,150.0,138.0,более 500,"{'екатеринбург склад': '19', 'ррц Екатеринбург LV NEW': '12', 'фрц Киржач': 'более 500'}"
CMFE 315 S Вентилятор диагональный канальный энергосберегающий,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-0076037,CMFE 315 S,105211.35,102860.0,54709.9,151,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '149'}"
"Установка приточная ECO-SLIM 700-9,0/3-А",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1192643,"700-9,0/3-А",159250.0,159250.0,106697.5,30,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '28'}"
RHPr 500x250 Рекуператор пластинчатый,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Рекуператоры,НС-1039509,RHPr 500x250,59680.0,59680.0,31033.6,28,"{'ррц Екатеринбург LV NEW': '3', 'фрц Киржач': '25'}"
Установка приточно-вытяжная SHUFT UniMAX-P 800 SE-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1062001,UniMAX-P 800 SE-A,375610.0,375610.0,251658.7,3,{'фрц Киржач': '3'}
Вентилятор крышный SHUFT RMVE 190/300-2 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1117509,RMVE 190/300-2 VIM,33280.0,33280.0,17305.6,143,{'фрц Киржач': '143'}
Вентилятор прямоугольный канальный SHUFT RFE-B 300х150-2 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1060612,RFE-B 300х150-2 VIM,26720.0,26720.0,13894.4,16,{'фрц Киржач': '16'}
"Лента перфорированная SHUFT оцинкованная 20x0,7, 25м",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425429,CT20071SH,420.0,420.0,386.4,474,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '13', 'фрц Киржач': '459'}"
"Хомут спринклерный без гайки SHUFT 5"" (d=142мм) (упак.50шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425487,PCK1411SH,1510.0,1510.0,1434.5,9,{'фрц Киржач': '9'}
"Установка приточная компактная моноблочная CAU 4000/1-45,0/3 VIM",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1066117,"CAU 4000/1-45,0/3 VIM",212160.0,212160.0,142147.2,1,{'фрц Киржач': '1'}
Установка приточно-вытяжная SHUFT UniMAX-P 450 SE-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1061991,UniMAX-P 450 SE-A,344680.0,344680.0,230935.6,ожидается поставка,{}
Потолочная решетка SHUFT 4 CA 300*300 new,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0006952,4_CA 300*300 new,1121.3,1050.0,784.91,20,{'ррц Екатеринбург LV NEW': '20'}
Установка приточно-вытяжная Shuft Star PVS-650,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1521738,PVS-650,140630.0,108300.0,98441.0,ожидается поставка,{}
Сплит-система инверторного типа SHUFT SFTMI-18HN1_22Y комплект,SHUFT,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1412246,SFTMI-18HN1_22Y,65990.0,65990.0,49492.5,ожидается поставка,{}
"Болт-скоба U-образный SHUFT оцинкованный 2"" М10 (упак.100шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425392,UBZ0611SH,10163.0,10163.0,9655.0,2,{'фрц Киржач': '2'}
Сплит-система SHUFT Soturai SFTH-07HN8 комплект,SHUFT,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1597567,SFTH-07HN8,22790.0,22790.0,16864.6,311,"{'екатеринбург склад': '7', 'ррц Лакинск': '20', 'ррц Екатеринбург LV NEW': '121', 'фрц Киржач': '163'}"
"Болт оцинкованный SHUFT класс прочности 5,8 DIN933 М8х35 (упак_1кг/58шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425386,BL0835SH,180.0,180.0,165.6,2,{'ррц Екатеринбург LV NEW': '2'}
"Вентилятор cо свободным колесом TORNADO 600x350-28-1,1-2",SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1124763,"TORNADO 600x350-28-1,1-2",85600.0,85600.0,44512.0,ожидается поставка,{}
Фанкойл канальный Shuft SFF-400G50,SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517754,SFF-400G50,46907.83,,17449.34,122,{'фрц Киржач': '122'}
Фанкойл напольно-потолочный Shuft SFF-400,SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517669,SFF-400,70548.63,,26244.09,30,{'фрц Киржач': '30'}
Фильтр карманный (материал) FRr (F9) 700*400,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Фильтры,НС-1072276,FRr (F9) 700*400,3276.0,3276.0,1703.52,6,{'фрц Киржач': '6'}
Установка приточно-вытяжная Shuft Star PVS-1100,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1521731,PVS-1100,194330.0,149700.0,136031.0,ожидается поставка,{}
"Установка приточная компактная моноблочная CAU 3000/1-6,0/2 VIM",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1066104,"CAU 3000/1-6,0/2 VIM",149710.0,149710.0,100305.7,под заказ,{}
"Хомут спринклерный без гайки SHUFT 6"" (d=170мм) (упак.50шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425488,PCK1651SH,2600.0,2600.0,2470.0,9,{'фрц Киржач': '9'}
"Установка приточная компактная моноблочная CAU 3000/1-15,0/3 VIM",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1066106,"CAU 3000/1-15,0/3 VIM",154390.0,154390.0,103441.3,15,{'фрц Киржач': '15'}
FBRr-K 600x300 Фильтр-бокс (корпус),SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Фильтры,НС-1033148,FBRr-K 600x300,8010.0,8010.0,4165.2,17,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '15'}"
RMVE-HT 450 Вентилятор центробежный крышный высокотемпературный,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-0076101,RMVE-HT-450,228074.28,200120.0,118598.62,под заказ,{}
Диффузор универсальный DVK-S 200,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0007533,DVK-S 200,439.18,410.0,307.42,более 500,"{'екатеринбург склад': '12', 'ррц Екатеринбург LV NEW': '37', 'фрц Киржач': 'более 500'}"
Хомут для воздуховода SHUFT без резинового профиля 500mm (шпилька) (упак_10),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425468,РС5001SH,105.0,105.0,96.6,124,"{'ррц Екатеринбург LV NEW': '11', 'фрц Киржач': '113'}"
Установка приточно-вытяжная SHUFT UniMAX-P 2200 SW EC,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1067121,UniMAX-P 2200 SW EC,856280.0,856280.0,573707.6,под заказ,{}
Осевой канальный вентилятор ECO 200,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-0005857,ECO  200,7978.11,7978.11,4148.62,ожидается поставка,{}
Шайба увеличенная SHUFT оцинкованная DIN9021 М12 (упак._25кг.),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1431471,WSLL121SH25,4750.0,4750.0,4512.5,2,{'фрц Киржач': '2'}
"Преобразователь частоты SKI600-1D5-4 1,5 кВт, 380В",SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Частотные преобразователи,НС-1442814,"SKI600-1D5-4 1,5 кВт, 380В",18781.82,,11269.09,ожидается поставка,{}
"Траверса монтажная SHUFT 38x40, 3м",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425449,TRAV38401SH,550.0,550.0,506.0,82,"{'ррц Екатеринбург LV NEW': '56', 'фрц Киржач': '26'}"
PG 200 Решетка,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0081389,PG 200,1060.0,1060.0,551.2,106,"{'ррц Екатеринбург LV NEW': '23', 'фрц Киржач': '83'}"
Сплит-система инверторного типа SHUFT Berg DC SFTOI-18HN1_24Y комплект,SHUFT,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1598415,SFTOI-18HN1_24Y,56990.0,56990.0,43882.3,ожидается поставка,{}
RHPr 1000x500 Рекуператор пластинчатый,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Рекуператоры,НС-1039516,RHPr 1000x500,209310.0,209310.0,108841.2,16,{'фрц Киржач': '16'}
Диффузор DVS E 160,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0007537,DVS E 160,551.31,510.0,385.92,34,"{'екатеринбург склад': '20', 'ррц Екатеринбург LV NEW': '14'}"
Диффузор DVS E 200,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0007538,DVS E 200,672.78,630.0,470.95,2,{'ррц Екатеринбург LV NEW': '2'}
Установка приточно-вытяжная SHUFT UniMAX-P 800 VWL-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1062004,UniMAX-P 800 VWL-A,386280.0,386280.0,258807.6,под заказ,{}
Осушитель канальный Shuft SHA-D140,SHUFT,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Полупромышленные осушители воздуха",НС-1442256,SHA-D140,567659.54,531560.0,283829.77,ожидается поставка,{}
"Преобразователь частоты SKI780-1D5-4 1,5 кВт, 380В",SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Частотные преобразователи,НС-1442803,"SKI780-1D5-4 1,5 кВт, 380В",16258.89,,9755.33,более 500,"{'ррц Екатеринбург LV NEW': '19', 'фрц Киржач': 'более 500'}"
Обратный клапан BDD 250 для вентиляторов RMV,SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Аксессуары для вентиляторов",НС-1295198,BDD 250,3160.0,,1643.2,ожидается поставка,{}
"Хомут спринклерный без гайки SHUFT 4"" (d=116мм) (упак.50шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425486,PCK1151SH,1280.0,1280.0,1216.0,9,{'фрц Киржач': '9'}
Осушитель канальный Shuft SHA-D210,SHUFT,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Полупромышленные осушители воздуха",НС-1442259,SHA-D210,920869.92,862310.0,460434.96,36,{'фрц Киржач': '36'}
Вентилятор осевой AXW 710-6D,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1128860,AXW 710-6D,99626.67,97400.0,51805.87,под заказ,{}
Шайба увеличенная SHUFT оцинкованная DIN9021 M8 (упак_25кг),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1429069,WSLL081SH25,4750.0,4750.0,4512.5,14,{'фрц Киржач': '14'}
Хомут для воздуховода SHUFT без резинового профиля 560mm (шпилька),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425469,РС5601SH,110.0,110.0,101.2,53,"{'ррц Екатеринбург LV NEW': '6', 'фрц Киржач': '47'}"
"Вентилятор cо свободным колесом TORNADO 500x250-22-0,55-2 ЭЛК",SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1173430,"TORNADO 500x250-22-0,55-2ЭЛК",54510.0,54510.0,28345.2,30,"{'ррц Екатеринбург LV NEW': '4', 'фрц Киржач': '26'}"
Вентилятор осевой AXW 300-4E,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1128854,AXW 300-4E,14958.96,14620.0,7778.66,55,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '54'}"
"Заклепка SHUFT комбинированная 4,0х12 алюминий/сталь (упак. 500шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Метизы",НС-1425419,RCAS40121SH,0.0,,0.0,1,{'фрц Киржач': '1'}
Вентилятор cо свободным колесом TORNADO 900x500-40-4-2,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1157845,TORNADO 900x500-40-4-2,150000.0,150000.0,78000.0,5,{'фрц Киржач': '5'}
"Установка приточная компактная моноблочная CAU 3000/3-15,0/3 VIM",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1065496,"CAU 3000/3-15,0/3 VIM",153660.0,153660.0,102952.2,21,{'фрц Киржач': '21'}
TTCO13/HY Канальный преобразователь температуры,SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Частотные преобразователи,НС-0081890,TTCO13/HY,13500.0,13500.0,7087.5,ожидается поставка,{}
Фильтр-бокс (корпус с материалом) FBCr 355,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Фильтры,НС-0010393,FBCr 355,6750.0,6750.0,3510.0,7,{'фрц Киржач': '7'}
JETA 400 Декоративный струйно-сопловый диффузор,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-1030696,JETA 400,12698.75,,8889.13,ожидается поставка,{}
"Болт оцинкованный SHUFT класс прочности 5,8 DIN933 М10x25 (упак_1кг/43шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Метизы",НС-1425381,BL10251SH,170.0,170.0,156.4,3,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '1'}"
"Нагреватель электрический для прямоугольных каналов EHR 500*250-7,5",SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Нагреватели,НС-1166657,"EHR 500*250-7,5",21510.0,21510.0,11185.2,25,{'фрц Киржач': '25'}
Вентилятор шумоизолированный канальный SHUFT IRFD-B EC 700*400,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1274624,IRFD-B EC 700*400,339680.0,,176633.6,под заказ,{}
BDD 355-500 Обратный клапан для вентиляторов RMV,SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Аксессуары для вентиляторов",НС-0006715,BDD 355-500,4840.0,,2516.8,63,{'фрц Киржач': '63'}
