Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Установка приточно-вытяжная SHUFT UniMAX-P 450 VWR-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1061996,UniMAX-P 450 VWR-A,376960.0,376960.0,252563.2,под заказ,{'фрц Киржач': 'под заказ'}
Блок расширения мощности БРМ40 -380В 40А IP40,SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Контроллеры,НС-1522118,VBRM0040000,28690.2,,15062.36,5,{'фрц Киржач': '5'}
"Установка приточная ECO 200/1-6,0/ 2-A",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1084916,"ECO 200/1-6,0/ 2-A",128200.0,128200.0,85894.0,48,{'фрц Киржач': '48'}
"Установка приточная ECO-SLIM 700-2,4/1-А",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1192638,"700-2,4/1-А",123894.0,123890.0,83008.98,4,{'фрц Киржач': '4'}
"Установка приточная компактная моноблочная CAU 6000/3-60,0/3 VIM",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1066123,"CAU 6000/3-60,0/3 VIM",253270.0,253270.0,169690.9,17,{'фрц Киржач': '17'}
Короб под вентилятор SHUFT d.100 (100 S),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Аксессуары для вентиляторов",НС-0006603,d.100 (100 S),5440.0,5440.0,2828.8,ожидается поставка,{}
Короб под вентилятор SHUFT d.125 (125 S),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Аксессуары для вентиляторов",НС-0006604,d.125 (125 S),5870.0,5870.0,3052.4,37,{'фрц Киржач': '37'}
Короб под вентилятор SHUFT d.160 S,SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Аксессуары для вентиляторов",НС-0006606,d.160 S,8390.0,8390.0,4362.8,5,{'фрц Киржач': '5'}
Короб под вентилятор SHUFT d.200 S,SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Аксессуары для вентиляторов",НС-0006608,d.200 S,8650.0,8650.0,4498.0,ожидается поставка,{}
Короб под вентилятор SHUFT d.250 S,SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Аксессуары для вентиляторов",НС-0006610,d.250 S,9770.0,9770.0,5080.4,ожидается поставка,{}
DCGAr 250 Воздушный клапан,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1033997,DCGAr 250,2910.0,2910.0,1513.2,355,"{'екатеринбург склад': '4', 'ррц Екатеринбург LV NEW': '5', 'фрц Киржач': '346'}"
Сплит-система инверторного типа SHUFT SFTMI-09HN1_22Y комплект,SHUFT,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1412243,SFTMI-09HN1_22Y,31390.0,31390.0,23542.5,ожидается поставка,{}
Преобразователь влажности комнатный SHUFT TUA 3,SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Частотные преобразователи,НС-1350773,TUA3,19913.0,,11947.8,188,{'фрц Киржач': '188'}
