Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Вентилятор вытяжной серии Rainbow EAFR-120TH white с таймером и гигростатом,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1127191,EAFR - 120TH white,7090.0,7090.0,4963.0,24,{'фрц Киржач': '24'}
Сплит-система Electrolux EACS-18HAL/N3 комплект,Electrolux,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1428446,EACS-18HAL/N3,71990.0,71990.0,51832.8,ожидается поставка,{}
Мат Electrolux EEM 2-150-6 (комплект теплого пола),Electrolux,Тепловое оборудование/Электрические теплые полы и системы антиобледенения/Нагревательные маты для теплого пола,НС-1199443,EEM 2-150-6 комплект,16900.0,16900.0,9633.0,9,{'ррц Екатеринбург LV NEW': '9'}
IQ-метеопульт для увлажнителя Electrolux EHU/RC-15,Electrolux,"Увлажнение, осушение и очистка воздуха/Аксессуары и фильтры для увлажнителей и очистителей/Элементы контроля влажности",НС-1119129,EHU/RC-15,1990.0,1990.0,1592.0,ожидается поставка,{}
Водонагреватель Electrolux EWH 50 Fidelity,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1182468,EWH 50 Fidelity,14690.0,14690.0,12487.0,ожидается поставка,{}
Мат Electrolux EMSM 2-150-9 (комплект теплого пола),Electrolux,Тепловое оборудование/Электрические теплые полы и системы антиобледенения/Нагревательные маты для теплого пола,НС-1105908,EMSM 2-150-9 комплект,29100.0,29100.0,16587.0,5,{'ррц Екатеринбург LV NEW': '5'}
Блок внешний канального типа EACD-76HN1-R OUT,Electrolux,Вентиляция и кондиционирование зданий/Фреоновые системы кондиционирования/Канальные кондиционеры большой мощности,НС-1284310,EACD-76HN1-R OUT,895266.84,994221.82,376012.07,ожидается поставка,{}
Комплект Electrolux Air Gate Transformer с блоком управления ECH/AG2-2500 T-TUM3 (механический),Electrolux,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1290458,ECH/AG2-2500-TUM3,10880.0,10880.0,8377.6,2,{'фрц Киржач': '2'}
Сплит-система инверторного типа Electrolux EACS/I-07HF2/N8 комплект,Electrolux,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1481660,EACS/I-07HF2/N8,49990.0,49990.0,36492.7,12,{'ррц Екатеринбург LV NEW': '12'}
Вентилятор вытяжной серии Move EAFV-150 с датчиком движения,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1126792,EAFV-150,6590.0,6590.0,4613.0,ожидается поставка,{}
Водонагреватель Electrolux EWH 80 Citadel,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1181388,EWH 80 Citadel,23090.0,23090.0,18472.0,146,"{'екатеринбург склад': '1', 'ррц Орехово-Зуево (Московская обл.)': '57', 'ррц Петушки (Владимирская обл.)': '7', 'ррц Екатеринбург LV NEW': '55', 'фрц Киржач': '26'}"
Водонагреватель Electrolux EWH 100 SmartInverter Grafit,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1428865,EWH 100 SmartInverter Grafit,36690.0,36690.0,29352.0,ожидается поставка,{}
Сплит-система Electrolux EACS-12HSK/N3 комплект,Electrolux,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1481646,EACS-12HSK/N3,48590.0,48590.0,31583.5,ожидается поставка,{}
Вентилятор вытяжной серии Rainbow EAFR-100 mirror,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1127175,EAFR - 100 mirror,4190.0,4190.0,2933.0,18,{'фрц Киржач': '18'}
Сплит-система инверторного типа Electrolux Onix Super DC EACS/I-12HIX-BLACK/N8 комплект,Electrolux,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1598862,EACS/I-12HIX-BLACK/N8,65490.0,65490.0,47807.7,ожидается поставка,{}
