Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Радиатор масляный Ballu Comfort BOH/CM-05WDN 1000 (5 секций),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Маслонаполненные радиаторы,НС-1071470,BOH/CM-05WDN 1000,3890.0,3590.0,3073.1,197,"{'ррц Екатеринбург LV NEW': '116', 'фрц Киржач': '81'}"
Чехол тканевый Ballu для рециркулятора на магнитной основе MС-100/150-DB,BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Чехлы для рециркуляторов",НС-1488487,MС-100/150-DB,7690.0,7690.0,6152.0,ожидается поставка,{}
Тепловентилятор водяной Ballu BHP-W4-15-D,BALLU,Тепловое оборудование/Водяные тепловентиляторы и дестратификаторы/Водяные тепловентиляторы,НС-1249711,BHP-W4-15-D,33990.0,30590.0,26172.3,ожидается поставка,{}
Кондиционер мобильный Ballu BPAC-18 CE_20Y,BALLU,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1235696,BPAC-18 CE_20Y,57590.0,57590.0,46072.0,205,"{'ррц Орехово-Зуево (Московская обл.)': '99', 'ррц Петушки (Владимирская обл.)': '48', 'ррц Екатеринбург LV NEW': '58'}"
"Трубка Ballu Condiflex 18/6 (3/4”), 2м",BALLU,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Теплоизоляция",НС-1206837,"Condiflex 18/6 (3/4”), 2м",44.5,44.5,28.93,17,{'ррц Екатеринбург LV NEW': '17'}
Водонагреватель Ballu BWH/S 80 Rodon,BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1123875,BWH/S 80 Rodon,19590.0,19590.0,16652.0,2,"{'екатеринбург склад': '1', 'ррц Екатеринбург LV NEW': '1'}"
Блок наружный Ballu BA4OI-FM/out-36HN8/EU инверторной мульти сплит-системы,BALLU,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1247889,BA4OI-FM/out-36HN8/EU,156100.0,156100.0,107709.0,ожидается поставка,{}
Кондиционер промышленный мобильный Ballu BGK15,BALLU,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1303262,BGK15,465950.0,465950.0,372760.0,ожидается поставка,{}
Обогреватель инфракрасный газовый Ballu Vela BOGH-18,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Газовые инфракрасные обогреватели,НС-1172053,BOGH-18,21990.0,21990.0,17592.0,392,"{'екатеринбург склад': '1', 'ррц Лакинск': '373', 'ррц Екатеринбург LV NEW': '15', 'фрц Киржач': '3'}"
Пушка дизельная непрямого нагрева Ballu BHDN-50,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Дизельные тепловые пушки,НС-1050908,BHDN-50,126990.0,126990.0,101592.0,233,"{'ррц Петушки (Владимирская обл.)': '92', 'ррц Екатеринбург LV NEW': '6', 'фрц Киржач': '135'}"
"Водонагреватель проточный Ballu 3-logic T (3,5 kW) - кран",BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные электрические,НС-1588911,"3-logic T (3,5 kW)",-1.0,,0.0,ожидается поставка,{}
Радиатор масляный Ballu CUBE BOH/CB-09W 2000 (9 секций),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Маслонаполненные радиаторы,НС-1133490,BOH/CB-09W,5490.0,5290.0,4337.1,более 500,"{'екатеринбург склад': '2', 'ррц Орехово-Зуево (Московская обл.)': '46', 'ррц Екатеринбург LV NEW': '577', 'фрц Киржач': 'более 500'}"
Кондиционер промышленный мобильный Ballu BGK9 с комплектом воздухоотводов,BALLU,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1348950,BGK9 с комплектом воздухоотводов,259590.0,259590.0,207672.0,ожидается поставка,{}
Пушка тепловая Ballu BHP-P2-6,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Электрические тепловые пушки,НС-1226960,BHP-P2-6,13590.0,13590.0,10872.0,132,"{'ррц Екатеринбург LV NEW': '24', 'фрц Киржач': '108'}"
Завеса тепловая Ballu BHC-H15T18-PS2,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1355451,BHC-H15T18-PS2,68490.0,68490.0,54792.0,ожидается поставка,{}
Вентилятор промышленный Ballu BIF-4B,BALLU,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Промышленные вентиляторы,НС-1406315,BIF-4B,4590.0,4590.0,3809.7,ожидается поставка,{}
Пушка дизельная прямого нагрева Ballu BHDP-120,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Дизельные тепловые пушки,НС-1273974,BHDP-120,169990.0,169990.0,135992.0,45,{'фрц Киржач': '45'}
Пушка тепловая газовая Ballu BHG-10LS,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Газовые тепловые пушки,НС-1422414,BHG-10LS,6990.0,6590.0,5801.7,442,"{'екатеринбург склад': '6', 'ррц Орехово-Зуево (Московская обл.)': '34', 'ррц Екатеринбург LV NEW': '7', 'фрц Киржач': '395'}"
Водонагреватель Ballu BWH/S 100 Legacy,BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1588104,BWH/S 100 Legacy,12290.0,12290.0,10201.0,58,"{'ррц Лакинск': '1', 'ррц Костерево (Владимирская обл.)': '50', 'ррц Орехово-Зуево (Московская обл.)': '1', 'ррц Екатеринбург LV NEW': '3', 'фрц Киржач': '3'}"
Сплит-система инверторного типа Ballu BSPI-10HN8/BL/EU комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1478047,BSPI-10HN8/BL/EU,44990.0,44990.0,32842.7,255,"{'екатеринбург склад': '2', 'ррц Лакинск': '36', 'ррц Петушки (Владимирская обл.)': '73', 'ррц Екатеринбург LV NEW': '60', 'фрц Киржач': '84'}"
Элемент нагревательный Ballu PTC-1000 для электроприборов,BALLU,Вентиляция и кондиционирование зданий/Бытовая приточная вентиляция/Фильтры и опции,НС-1095051,PTC-1000,2490.0,2490.0,1868.0,2,{'екатеринбург склад': '2'}
Очиститель воздуха Ballu AP-130,BALLU,"Увлажнение, осушение и очистка воздуха/Очистители воздуха/Бытовые очистители воздуха",НС-1533225,AP-130,12990.0,12990.0,10652.0,9,{'ррц Екатеринбург LV NEW': '9'}
Конвектор электрический Ballu Apollo digital INVERTER Space Black BEC/ATI-2502,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1343712,BEC/ATI-2502,18990.0,18990.0,15192.0,272,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '270'}"
Чехол тканевый Ballu для рециркулятора на магнитной основе MС-100/150 WiFi-DB,BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Чехлы для рециркуляторов",НС-1488475,MС-100/150 WiFi-DB,7690.0,7690.0,6152.0,ожидается поставка,{}
Обогреватель инфракрасный Ballu BIH-LM-1.5,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические полупромышленные инфракрасные обогреватели,НС-1136144,BIH-LM-1.5,3590.0,3590.0,2980.0,ожидается поставка,{}
"Комплект Ballu BLCI_CF-36HN1_24Y инверторной сплит-системы, напольно-потолочного типа",BALLU,Кондиционирование/Полупромышленные сплит-системы,НС-1597618,BLCI_CF-36HN1_24Y,169800.0,169800.0,101880.0,52,{'фрц Киржач': '52'}
Увлажнитель ультразвуковой Ballu UHB-205 белый/зеленый,BALLU,"Увлажнение, осушение и очистка воздуха/Увлажнители воздуха/Бытовые увлажнители воздуха",НС-1070072,UHB-205 white/green,2590.0,2590.0,2176.0,ожидается поставка,{}
"Блок внутренний Ballu BSEI-FM/in-07HN8/LP_EU мульти сплит-системы, инверторного типа",BALLU,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1486944,BSEI-FM/in-07HN8/LP_EU,17700.0,17700.0,12213.0,26,{'фрц Киржач': '26'}
Конвектор электрический Ballu Enzo BEC/EZER-1000,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1055662,BEC/EZER-1000,5890.0,5890.0,5006.5,более 500,"{'ррц Петушки (Владимирская обл.)': '2330', 'ррц Екатеринбург LV NEW': '33', 'фрц Киржач': '67'}"
Конвектор электрический Ballu Solo Turbo BEC/SMT-1000,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1166357,BEC/SMT-1000,3390.0,3390.0,2745.9,более 500,"{'ррц Костерево (Владимирская обл.)': '524', 'ррц Екатеринбург LV NEW': '103', 'фрц Киржач': 'более 500'}"
Кондиционер мобильный Ballu Smart Inverter BPAC-12 IN/N6,BALLU,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1606979,BPAC-12 IN/N6,55950.0,55950.0,44760.0,194,{'фрц Киржач': '194'}
Кондиционер мобильный Ballu Eclipse BPAC-07 EPB/N6 black,BALLU,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1599256,BPAC-07 EPB/N6 black,28990.0,28990.0,23192.0,3,{'ррц Екатеринбург LV NEW': '3'}
Чехол тканевый Ballu для рециркулятора на магнитной основе MС-100/150 WiFi-C,BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Чехлы для рециркуляторов",НС-1488474,MС-100/150 WiFi-C,7690.0,7690.0,6152.0,ожидается поставка,{}
Сплит-система Ballu BSAG-09HN8 комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1478063,BSAG-09HN8,28490.0,28490.0,20512.8,1,{'екатеринбург склад': '1'}
Фильтр-картридж для ультразвукового увлажнителя Ballu FC-400,BALLU,"Увлажнение, осушение и очистка воздуха/Аксессуары и фильтры для увлажнителей и очистителей/Аксессуары и фильтры для увлажнителей и очистителей",НС-1031482,FC-400,390.0,390.0,312.0,более 500,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': 'более 500'}"
Тепловая пушка Ballu BHP-P-6,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Электрические тепловые пушки,НС-1035077,BHP-P-6,11990.0,11990.0,9951.7,183,"{'ррц Петушки (Владимирская обл.)': '122', 'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '60'}"
Тепловая пушка Ballu BKX-5,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Электрические тепловые пушки,НС-1031315,BKX-5,3890.0,3790.0,3306.5,156,"{'ррц Екатеринбург LV NEW': '10', 'фрц Киржач': '146'}"
Мойка воздуха Ballu AW-325 белый /white,BALLU,"Увлажнение, осушение и очистка воздуха/Комбинированные приборы: увлажнение и очистка/Мойки воздуха",НС-1022917,AW-325,18990.0,16990.0,15762.0,ожидается поставка,{}
Тепловая пушка газовая Ballu BHG-10M,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Газовые тепловые пушки,НС-1053054,BHG-10М,8590.0,8590.0,6872.0,185,"{'екатеринбург склад': '1', 'ррц Орехово-Зуево (Московская обл.)': '1', 'ррц Петушки (Владимирская обл.)': '13', 'ррц Екатеринбург LV NEW': '9', 'фрц Киржач': '161'}"
"Труба медная Ballu Olympic 34,92х1,25х3000 (1-3/8), отрезок",BALLU,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Трубы медные",НС-1123011,Труба медная Ballu Olympic 1-3/8,4279.19,4279.19,4065.23,ожидается поставка,{}
Вентилятор напольный Ballu BFF-802,BALLU,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы бытовые,НС-1236005,BFF-802,2490.0,2490.0,1992.0,59,"{'екатеринбург склад': '1', 'ррц Костерево (Владимирская обл.)': '49', 'ррц Орехово-Зуево (Московская обл.)': '1', 'ррц Екатеринбург LV NEW': '8'}"
Водонагреватель Ballu BWH/S 50 Smart WiFi DRY+,BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1161197,BWH/S 50 Smart WiFi DRY+,19790.0,19790.0,15634.0,ожидается поставка,{}
Сплит-система инверторного типа Ballu BSUI-09HN8_23Y комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1480848,BSUI-09HN8_23Y,44990.0,44990.0,32842.7,ожидается поставка,{}
Конвектор электрический Ballu Apollo digital INVERTER Space Black BEC/ATI-2002,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1343709,BEC/ATI-2002,17990.0,17990.0,14392.0,13,{'ррц Екатеринбург LV NEW': '13'}
Завеса воздушная Ballu BHC-U15A-PS,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Пылевлагозащищенные (IP54),НС-1183726,BHC-U15A-PS,84990.0,84990.0,67992.0,ожидается поставка,{}
"Бактерицидный рециркулятор Ballu RDU-200D ANTICOVIDgenerator, white",BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Рециркуляторы",НС-1343672,"RDU-200D, white",18990.0,18990.0,14812.0,1,{'ррц Екатеринбург LV NEW': '1'}
Чехол тканевый Ballu для рециркулятора на магнитной основе MС-30/60 WiFi-R,BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Чехлы для рециркуляторов",НС-1488506,MС-30/60 WiFi-R,7390.0,7390.0,5912.0,ожидается поставка,{}
Сплит-система инверторного типа Ballu BSPKI-13HN8_24Y комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1597459,BSPKI-13HN8_24Y,64990.0,64990.0,47442.7,ожидается поставка,{}
Радиатор масляный Ballu Level BOH/LV-05 1000 (5 секций),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Маслонаполненные радиаторы,НС-1163569,BOH/LV-05,2550.0,2500.0,2040.0,ожидается поставка,{}
Сплит-система инверторного типа Ballu BSPKI-10HN8_23Y комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1507082,BSPKI-10HN8_23Y,59990.0,59990.0,43792.7,25,"{'ррц Орехово-Зуево (Московская обл.)': '20', 'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '4'}"
Завеса тепловая Ballu BHC-M15W20-PS,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1116108,BHC-M15W20-PS,60990.0,60990.0,48792.0,ожидается поставка,{}
"Труба медная Ballu Olympic 19,05х0,80х15000 (3/4), бухта",BALLU,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Трубы медные",НС-1104987,Труба Медная Ballu 3/4 х 15м,8431.5,8431.5,7841.3,265,"{'екатеринбург склад': '14', 'ррц Екатеринбург LV NEW': '251'}"
Колонка газовая Ballu GWH 10 Fiery Glass Curry,BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные газовые,НС-1584732,GWH 10 Fiery Glass Curry,10990.0,10990.0,9671.0,ожидается поставка,{}
Завеса тепловая Ballu BHC-M15T12-PS,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1111928,BHC-M15T12-PS,48990.0,48990.0,39192.0,ожидается поставка,{}
"Труба медная Ballu Olympic 15,88х0,75х15000 (5/8), бухта",BALLU,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Трубы медные",НС-1104985,Труба Медная Ballu 5/8 х 15м,6783.0,6783.0,6308.19,95,"{'екатеринбург склад': '89', 'ррц Екатеринбург LV NEW': '6'}"
Заглушка для воздуховода Ballu BVP-95,BALLU,Вентиляция и кондиционирование зданий/Бытовая приточная вентиляция/Фильтры и опции,НС-1298538,BVP-95,300.0,300.0,225.0,ожидается поставка,{}
Обогреватель инфракрасный Ballu BIH-AP4-1.0-M,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические полупромышленные инфракрасные обогреватели,НС-1454425,BIH-AP4-1.0-M,5790.0,5790.0,4805.7,более 500,"{'ррц Костерево (Владимирская обл.)': '18', 'ррц Орехово-Зуево (Московская обл.)': '475', 'ррц Екатеринбург LV NEW': '16', 'фрц Киржач': '72'}"
Конвектор электрический Ballu Ettore BEC/ETER-1000,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1135153,BEC/ETER-1000,5990.0,5990.0,4911.8,более 500,"{'екатеринбург склад': '2', 'ррц Лакинск': '486', 'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '185'}"
"Рукав тепловой гибкий для теплогенераторов (диам. 300, длина 6 м)",BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Аксессуары для теплогенераторов,НС-1119794,02AC562_RF,15990.0,15990.0,12792.0,125,{'фрц Киржач': '125'}
Блок управления Transformer Digital Inverter Ballu BCT/EVU-I,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Блоки управления для электрических конвекторов,НС-1081869,BCT/EVU-I,1990.0,1990.0,1592.0,ожидается поставка,{}
Инфракрасный обогреватель Ballu BIH-T-4.5,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические полупромышленные инфракрасные обогреватели,НС-1033850,BIH-T-4.5,13990.0,13990.0,11891.5,16,"{'екатеринбург склад': '1', 'ррц Петушки (Владимирская обл.)': '10', 'ррц Екатеринбург LV NEW': '5'}"
Завеса тепловая Ballu BHC-L15-S09 (пульт BRC-E),BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Компактные,НС-1073914,BHC-L15-S09 (BRC-E),27490.0,27490.0,22816.7,ожидается поставка,{}
Увлажнитель ультразвуковой Ballu UHB-190,BALLU,"Увлажнение, осушение и очистка воздуха/Увлажнители воздуха/Бытовые увлажнители воздуха",НС-1115344,UHB-190,3390.0,2390.0,2848.0,1,{'екатеринбург склад': '1'}
Сплит-система Ballu BSAG-07HN8 комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1478062,BSAG-07HN8,25990.0,25990.0,18712.8,ожидается поставка,{}
Тепловентилятор водяной Ballu BHP-W4-40-S,BALLU,Тепловое оборудование/Водяные тепловентиляторы и дестратификаторы/Водяные тепловентиляторы,НС-1508427,BHP-W4-40-S,46990.0,42290.0,36182.3,2,{'фрц Киржач': '2'}
Пушка тепловая Ballu BHP-M2-30,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Электрические тепловые пушки,НС-1282611,BHP-M2-30,42990.0,42990.0,34392.0,42,"{'ррц Петушки (Владимирская обл.)': '1', 'ррц Екатеринбург LV NEW': '8', 'фрц Киржач': '33'}"
Экран для кассетного кондиционера Ballu Смарт 950,BALLU,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Экраны для кондиционеров",НС-1263343,smart950,4733.0,4733.0,4118.0,217,"{'ррц Екатеринбург LV NEW': '8', 'фрц Киржач': '209'}"
Тепловая пушка газовая Ballu BHG-85,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Газовые тепловые пушки,НС-1011969,BHG-85,31990.0,31990.0,25592.0,204,"{'ррц Петушки (Владимирская обл.)': '77', 'ррц Екатеринбург LV NEW': '10', 'фрц Киржач': '117'}"
"Комплект Ballu BLCI_C-18HN1_24Y инверторной сплит-системы, кассетного типа",BALLU,Кондиционирование/Полупромышленные сплит-системы,НС-1597611,BLCI_C-18HN1_24Y,104600.0,104600.0,62760.0,100,"{'ррц Петушки (Владимирская обл.)': '65', 'фрц Киржач': '35'}"
Кондиционер мобильный Ballu BPHS-15H,BALLU,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1185831,BPHS-15H,45990.0,45990.0,36792.0,24,"{'ррц Орехово-Зуево (Московская обл.)': '7', 'ррц Екатеринбург LV NEW': '17'}"
Завеса тепловая Ballu BHC-B20T12-PS,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1248459,BHC-B20T12-PS,49990.0,49990.0,39992.0,ожидается поставка,{}
Сплит-система инверторного типа Ballu BSYI-24HN8/ES_23Y комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1483593,BSYI-24HN8/ES_23Y,93490.0,93490.0,68247.7,6,"{'екатеринбург склад': '3', 'ррц Екатеринбург LV NEW': '3'}"
Термостат Ballu BMT-2,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Аксессуары для инфракрасных обогревателей,НС-1101652,BMT-2,1290.0,1290.0,1032.0,более 500,"{'екатеринбург склад': '13', 'ррц Екатеринбург LV NEW': '190', 'фрц Киржач': 'более 500'}"
Кондиционер мобильный Ballu Aura BPAC-07 CP/N1_24Y,BALLU,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1594917,BPAC-07 CP/N1_24Y,24990.0,24990.0,19992.0,43,{'ррц Екатеринбург LV NEW': '43'}
Осушитель воздуха Ballu BD20U,BALLU,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Бытовые осушители воздуха",НС-1300657,BD20U,17950.0,17950.0,14719.0,ожидается поставка,{}
Сушилка для рук электрическая Ballu BAHD-2000DM,BALLU,Тепловое оборудование/Сушилки для рук/Сушилки для рук,НС-1057881,BAHD-2000DM,5590.0,5590.0,4472.0,239,"{'ррц Петушки (Владимирская обл.)': '238', 'фрц Киржач': '1'}"
Конвектор электрический Ballu Ettore BEC/ETMR-500,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1135149,BEC/ETMR-500,4090.0,4090.0,3353.8,более 500,"{'ррц Петушки (Владимирская обл.)': '158', 'ррц Екатеринбург LV NEW': '23', 'фрц Киржач': 'более 500'}"
Водонагреватель Ballu BWH/S 80 Smart WiFi DRY+,BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1161199,BWH/S 80 Smart WiFi DRY+,24390.0,24390.0,19268.0,ожидается поставка,{}
Сплит-система Ballu Olympio Legend BSW-24HN1_24Y комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1608695,BSW-24HN1_24Y,77990.0,77990.0,54593.0,50,"{'ррц Екатеринбург LV NEW': '14', 'фрц Киржач': '36'}"
Конвектор электрический Ballu Enzo BEC/EZER-1500,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1055672,BEC/EZER-1500,6690.0,6690.0,5686.5,более 500,"{'ррц Костерево (Владимирская обл.)': '432', 'ррц Петушки (Владимирская обл.)': '1708', 'ррц Екатеринбург LV NEW': '119', 'фрц Киржач': 'более 500'}"
Водонагреватель Ballu BWH/S 80 Artendo DH,BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1602427,BWH/S 80 Artendo DH,23390.0,23390.0,18478.0,более 500,"{'екатеринбург склад': '1', 'ррц Екатеринбург LV NEW': '39', 'фрц Киржач': 'более 500'}"
Тепловая пушка газовая Ballu BHG-40,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Газовые тепловые пушки,НС-1011967,BHG-40,12990.0,11990.0,10392.0,206,"{'ррц Екатеринбург LV NEW': '8', 'фрц Киржач': '198'}"
Завеса тепловая Ballu BHC-L10T05,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Компактные,НС-1248461,BHC-L10T05,18490.0,18490.0,15346.7,ожидается поставка,{}
"Водонагреватель проточный Ballu 3-logic S (5,5 kW) - душ",BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные электрические,НС-1589002,"3-logic S (5,5 kW)",-1.0,,0.0,ожидается поставка,{}
Обогреватель инфракрасный Ballu BIH-GSW-0.8,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические полупромышленные инфракрасные обогреватели,НС-1502637,BIH-GSW-0.8,8990.0,8990.0,7192.0,89,{'фрц Киржач': '89'}
Фильтр Ballu FPHC-125 для очистителя воздуха AP-125,BALLU,"Увлажнение, осушение и очистка воздуха/Аксессуары и фильтры для увлажнителей и очистителей/Аксессуары и фильтры для увлажнителей и очистителей",НС-1568622,FPHC-125,1890.0,1890.0,1512.0,249,{'фрц Киржач': '249'}
Сплит-система инверторного типа Ballu BSYI-12HN8/ES_23Y комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1483589,BSYI-12HN8/ES_23Y,43990.0,43990.0,32112.7,ожидается поставка,{}
Завеса тепловая Ballu BHC-L15-S09 (пульт BRC-S),BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Компактные,НС-1485656,BHC-L15-S09 (BRC-S),27990.0,27990.0,23231.7,17,"{'ррц Костерево (Владимирская обл.)': '1', 'ррц Екатеринбург LV NEW': '15', 'фрц Киржач': '1'}"
"Труба медная Ballu Olympic 12,7х0,70х15000 (1/2), бухта",BALLU,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Трубы медные",НС-1104979,Труба Медная Ballu 1/2 х 15м,4725.0,4725.0,4394.25,417,"{'екатеринбург склад': '212', 'ррц Екатеринбург LV NEW': '203', 'фрц Киржач': '2'}"
Кронштейн напольный Ballu BHC-UF,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Аксессуары для воздушных завес,НС-1205661,BHC-UF,1290.0,1290.0,1032.0,ожидается поставка,{}
"Рециркулятор-обеззараживатель медицинский Ballu DRU-200D ANTICOVIDgenerator, white",BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Рециркуляторы",НС-1433738,"DRU-200D ANTICOVIDgenerator, white",21990.0,21990.0,17152.0,ожидается поставка,{}
Обогреватель конвективно-инфракрасный BALLU Plaza Solar BIHP/S-1300,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические инфракрасные обогреватели,НС-1246089,BIHP/S-1300,12590.0,12590.0,10701.5,17,"{'ррц Екатеринбург LV NEW': '16', 'фрц Киржач': '1'}"
"Насос дренажный Ballu CondiPump Nebulizer (система распыления конденсата, 15 л/ч)",BALLU,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Дренажные помпы",НС-1500829,Nebulizer,6550.0,6550.0,5698.5,35,{'ррц Екатеринбург LV NEW': '35'}
Кондиционер мобильный Ballu BPAC-20 CE_20Y,BALLU,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1235697,BPAC-20 CE_20Y,62590.0,62590.0,50072.0,170,"{'ррц Орехово-Зуево (Московская обл.)': '127', 'ррц Екатеринбург LV NEW': '41', 'фрц Киржач': '2'}"
Радиатор масляный Ballu Comfort BOH/CM-11WDN 2200 (11 секций),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Маслонаполненные радиаторы,НС-1071473,BOH/CM-11WDN 2200,6190.0,5890.0,4890.1,355,"{'ррц Орехово-Зуево (Московская обл.)': '1', 'ррц Екатеринбург LV NEW': '168', 'фрц Киржач': '186'}"
Тепловентилятор водяной Ballu BHP-W2-70-SF,BALLU,Тепловое оборудование/Водяные тепловентиляторы и дестратификаторы/Водяные тепловентиляторы,НС-1355499,BHP-W2-70-SF,66990.0,60290.0,51582.3,ожидается поставка,{}
Очиститель воздуха приточный Ballu ONEAIR ASP-200P,BALLU,Вентиляция и кондиционирование зданий/Бытовая приточная вентиляция/Приточные очистители воздуха,НС-1246471,ASP-200P,47490.0,47490.0,35617.5,ожидается поставка,{}
Обогреватель инфракрасный Ballu BIH-GTW-0.8,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические полупромышленные инфракрасные обогреватели,НС-1502640,BIH-GTW-0.8,9990.0,9990.0,7992.0,461,"{'ррц Петушки (Владимирская обл.)': '338', 'фрц Киржач': '123'}"
