Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Тепловая пушка Ballu BHP-P-5,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Электрические тепловые пушки,НС-1035076,BHP-P-5,8790.0,8790.0,7295.7,415,"{'ррц Екатеринбург LV NEW': '8', 'фрц Киржач': '407'}"
Чехол тканевый Ballu для рециркулятора на магнитной основе MС-100/150 WiFi-P,BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Чехлы для рециркуляторов",НС-1488481,MС-100/150 WiFi-P,7690.0,7690.0,6152.0,ожидается поставка,{}
Завеса тепловая Ballu BHC-U15T12-PS,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Пылевлагозащищенные (IP54),НС-1248457,BHC-U15T12-PS,98990.0,98990.0,79192.0,ожидается поставка,{}
Вентилятор вытяжной Ballu BAFS - 150,BALLU,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1481565,BAFS - 150,3990.0,3990.0,2793.0,396,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '395'}"
Вентилятор напольный Ballu BFF-805,BALLU,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы бытовые,НС-1127320,BFF-805,3090.0,3090.0,2472.0,223,{'ррц Орехово-Зуево (Московская обл.)': '223'}
Увлажнитель воздуха ультразвуковой Ballu UHB-450 T Gray,BALLU,"Увлажнение, осушение и очистка воздуха/Увлажнители воздуха/Бытовые увлажнители воздуха",НС-1346148,UHB-450 T Gray,3090.0,3090.0,2596.0,165,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '12', 'фрц Киржач': '151'}"
Завеса тепловая Ballu BHC-B20T12-PS2,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1355398,BHC-B20T12-PS2,49990.0,49990.0,39992.0,ожидается поставка,{}
Чехол тканевый Ballu для рециркулятора на магнитной основе MС-30/60-Y,BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Чехлы для рециркуляторов",НС-1488517,MС-30/60-Y,7390.0,7390.0,5912.0,ожидается поставка,{}
Колонка газовая Ballu GWH 6 Fiery,BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные газовые,НС-1584742,GWH 6 Fiery,8890.0,8890.0,7290.0,ожидается поставка,{}
Очиститель воздуха приточный Ballu ONEAIR ASP-200,BALLU,Вентиляция и кондиционирование зданий/Бытовая приточная вентиляция/Приточные очистители воздуха,НС-1246469,ASP-200,47490.0,47490.0,35617.5,ожидается поставка,{}
Обогреватель конвективно-инфракрасный Ballu Red Evolution BIHP/R-1000,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические инфракрасные обогреватели,НС-1052004,BIHP/R-1000,7590.0,7590.0,6451.5,ожидается поставка,{}
Тепловая пушка газовая Ballu BHG-30L,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Газовые тепловые пушки,НС-1275317,BHG-30L,10990.0,9990.0,9121.7,77,"{'ррц Екатеринбург LV NEW': '19', 'фрц Киржач': '58'}"
Завеса тепловая Ballu BHC-H10A-PS2,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1355431,BHC-H10A-PS2,35990.0,35990.0,28792.0,ожидается поставка,{}
Конвектор электрический Ballu Camino Eco Turbo BEC/EMT-2500,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1166349,BEC/EMT-2500,6190.0,6190.0,5075.8,более 500,"{'ррц Лакинск': '868', 'ррц Екатеринбург LV NEW': '65', 'фрц Киржач': '40'}"
Подводка гибкая Ballu BP-1000 (комплект 2 шт.),BALLU,Тепловое оборудование/Водяные тепловентиляторы и дестратификаторы/Аксессуары,НС-1421435,BP-1000,2690.0,2690.0,2286.5,364,"{'ррц Екатеринбург LV NEW': '17', 'фрц Киржач': '347'}"
