Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Радиатор панельный Royal Thermo COMPACT C22-400-1100 Noir Sable,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1369551,C22-400-1100/NS,8941.0,8941.0,6795.16,ожидается поставка,{}
Радиатор панельный Royal Thermo COMPACT C21-500-600 Silver Satin,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1239150,C21-500-600/SS,6207.0,6207.0,4717.32,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL COMPACT VC22-600-500 Noir Sable,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1255815,VC22-600-500/NS,8943.0,8943.0,6796.68,ожидается поставка,{}
Радиатор панельный Royal Thermo HYGIENE H30-400-400 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1345481,H30-400-400/9016,6320.0,6320.0,4803.2,ожидается поставка,{}
Радиатор панельный Royal Thermo COMPACT C22-400-600 Noir Sable,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1369595,C22-400-600/NS,6023.0,6023.0,4577.48,1,{'фрц Киржач': '1'}
Радиатор панельный Royal Thermo VENTIL COMPACT VC33-500-1100 RAL9016 M,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1453192,VC33-500-1100/9016 M,16710.0,16710.0,12699.6,ожидается поставка,{}
Соединение Royal Thermo труба-труба 25×25 PPSU,Royal Thermo,"Отопление и водоснабжение/Трубы, шланги и фитинги/Фитинги для отопления и водоснабжения",НС-1351150,RTA 18.006,250.0,222.0,125.0,459,{'фрц Киржач': '459'}
Конвектор внутрипольный Royal Thermo ATRIUM-90/400/2500-DG-U-BL,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1559049,RT-A-90/400/2500-DG-U-BL,63453.0,63453.0,43148.04,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-90/250/1200-DG-U-LB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477889,RT-A-90/250/1200-DG-U-LB,22853.0,22853.0,15540.04,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-150/400/2200-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477512,RT-A-150/400/2200-DG-U-DB,75642.0,75642.0,51436.56,ожидается поставка,{}
